"yearOut","monthOut","weekOut","count"
2008,1,1,52
2008,1,2,51
2008,1,3,50
2008,1,4,40
2008,1,5,31
2008,2,5,20
2008,2,6,68
2008,2,7,37
2008,2,8,48
2008,2,9,53
2008,3,9,13
2008,3,10,42
2008,3,11,75
2008,3,12,50
2008,3,13,51
2008,3,14,8
2008,4,14,45
2008,4,15,46
2008,4,16,84
2008,4,17,49
2008,4,18,54
2008,5,18,34
2008,5,19,75
2008,5,20,66
2008,5,21,85
2008,5,22,70
2008,6,22,9
2008,6,23,60
2008,6,24,74
2008,6,25,92
2008,6,26,73
2008,6,27,10
2008,7,27,42
2008,7,28,80
2008,7,29,107
2008,7,30,70
2008,7,31,43
2008,8,31,17
2008,8,32,82
2008,8,33,80
2008,8,34,59
2008,8,35,68
2008,9,36,60
2008,9,37,56
2008,9,38,45
2008,9,39,76
2008,9,40,18
2008,10,40,58
2008,10,41,91
2008,10,42,62
2008,10,43,61
2008,10,44,30
2008,11,44,7
2008,11,45,38
2008,11,46,52
2008,11,47,63
2008,11,48,40
2008,12,1,8
2008,12,49,63
2008,12,50,44
2008,12,51,25
2008,12,52,14
2009,1,1,30
2009,1,2,62
2009,1,3,66
2009,1,4,61
2009,1,5,51
2009,2,5,8
2009,2,6,83
2009,2,7,77
2009,2,8,58
2009,2,9,75
2009,3,9,12
2009,3,10,50
2009,3,11,83
2009,3,12,76
2009,3,13,57
2009,3,14,8
2009,4,14,64
2009,4,15,56
2009,4,16,45
2009,4,17,80
2009,4,18,33
2009,5,18,25
2009,5,19,58
2009,5,20,82
2009,5,21,83
2009,5,22,65
2009,6,23,57
2009,6,24,65
2009,6,25,51
2009,6,26,62
2009,6,27,11
2009,7,27,43
2009,7,28,69
2009,7,29,57
2009,7,30,93
2009,7,31,165
2009,8,31,56
2009,8,32,166
2009,8,33,146
2009,8,34,230
2009,8,35,234
2009,9,37,181
2009,9,38,177
2009,9,39,287
2009,9,40,107
2009,10,40,57
2009,10,41,197
2009,10,42,170
2009,10,43,272
2009,10,44,197
2009,11,44,7
2009,11,45,186
2009,11,46,149
2009,11,47,212
2009,11,48,131
2009,11,49,7
2009,12,49,167
2009,12,50,148
2009,12,51,138
2009,12,52,81
2009,12,53,50
2010,1,1,187
2010,1,2,201
2010,1,3,146
2010,1,4,173
2010,1,53,37
2010,2,5,180
2010,2,6,156
2010,2,7,137
2010,2,8,174
2010,3,9,191
2010,3,10,130
2010,3,11,131
2010,3,12,187
2010,3,13,66
2010,4,13,67
2010,4,14,157
2010,4,15,154
2010,4,16,117
2010,4,17,110
2010,5,17,34
2010,5,18,139
2010,5,19,124
2010,5,20,149
2010,5,21,137
2010,6,22,78
2010,6,23,141
2010,6,24,143
2010,6,25,146
2010,6,26,55
2010,7,26,51
2010,7,27,129
2010,7,28,113
2010,7,29,160
2010,7,30,105
2010,8,30,7
2010,8,31,147
2010,8,32,87
2010,8,33,124
2010,8,34,92
2010,9,36,82
2010,9,37,98
2010,9,38,136
2010,9,39,55
2010,10,39,17
2010,10,40,105
2010,10,41,76
2010,10,42,86
2010,10,43,81
2010,11,44,111
2010,11,45,84
2010,11,46,86
2010,11,47,67
2010,11,48,35
2010,12,48,54
2010,12,49,105
2010,12,50,97
2010,12,51,83
2010,12,52,60
2011,1,1,153
2011,1,2,141
2011,1,3,100
2011,1,4,121
2011,1,5,30
2011,1,52,12
2011,2,5,69
2011,2,6,106
2011,2,7,104
2011,2,8,96
2011,2,9,17
2011,3,9,95
2011,3,10,79
2011,3,11,122
2011,3,12,86
2011,3,13,51
2011,4,13,39
2011,4,14,98
2011,4,15,120
2011,4,16,64
2011,4,17,70
2011,5,17,6
2011,5,18,103
2011,5,19,72
2011,5,20,87
2011,5,21,97
2011,5,22,12
2011,6,22,45
2011,6,23,87
2011,6,24,76
2011,6,25,93
2011,6,26,56
2011,7,26,20
2011,7,27,80
2011,7,28,95
2011,7,29,70
2011,7,30,92
2011,8,31,76
2011,8,32,76
2011,8,33,89
2011,8,34,64
2011,9,36,57
2011,9,37,55
2011,9,38,81
2011,9,39,51
2011,10,39,9
2011,10,40,43
2011,10,41,45
2011,10,42,56
2011,10,43,55
2011,10,44,4
2011,11,44,42
2011,11,45,66
2011,11,46,47
2011,11,47,58
2011,11,48,19
2011,12,48,41
2011,12,49,63
2011,12,50,61
2011,12,51,27
2011,12,52,29
