title,0,1,2,3,4,5,6,7
Philosophy,-0.09680910106898845,-0.00986710590713876,0.042675144770017895,0.01670694945384659,0.13419478139232216,0.032148791740900434,-0.1994834968159012,-0.18245411795303265
Iran,0.6192370842601521,0.21097257933925959,0.05351365028016567,0.0034137170623655473,0.01348767679164589,-0.010061624982123136,-0.03415746857821288,0.06304489084401514
Falcon,-0.2059762972295557,-0.14470246676720624,-0.16690129644696083,0.1267004104960615,-0.08873815869125617,-0.2615747845869884,-0.2626513902690017,0.36862639021911
Panthera,-0.19237917698148366,-0.1930747745226941,-0.12265182259307217,0.12126908908711607,-0.09079972413596067,-0.21455813290426243,-0.24457261189702875,0.32271162793795066
List of newspapers in Iran,0.10644434946006333,-0.06913440801417858,-0.187794617885228,-0.015140913335498126,0.016416751727179896,0.1850272139301475,-0.028463454238860254,-0.11314620035311089
Shikand-gumanic Vichar,-0.15711294556209826,-0.06371149910655828,0.008504231144273226,-0.006948892255162212,0.03769847029224459,0.13565886887743014,-0.06010960955650846,0.05683962361735477
Mesopotamia,-0.13750713994053643,0.37709716461392434,0.28759123509625545,0.1685171182725938,0.023647624670579265,0.03634359992344759,0.0640404608502674,-0.0247379202142844
Basij,0.10064877908533201,-0.12777380272900415,-0.21075124117020366,-0.2100776694184003,0.20888964892702397,0.05539155310010609,0.29717062840736025,0.11533817773647234
World War II,-0.022020888685247972,-0.1313794664414303,0.27893257314787945,-0.2789698166829412,0.020622824952053705,-0.2915113715326673,0.21113077831725685,0.11624712326745154
Regions of Iran,0.08816308487311944,-0.05195198011986795,-0.039882387005495595,0.06774158222763757,-0.06292502046744645,0.10275623648339421,0.15416374873579874,-0.024951764211481573
Iranian rock,0.0949081201372121,-0.016179757227499713,-0.17780093881313655,-0.13830854495298792,-0.18032872067956274,-0.04693404778505533,0.05684008211805015,-0.057195469631442626
Virtual private network,-0.1446912812001659,-0.15403705744607418,-0.06956526604872054,0.0019982688186151575,-0.15411837090351999,0.03171278964130256,-0.009327317100038953,-0.16807826883286797
Downpour (film),-0.06537842247136166,-0.07224717948193043,-0.20938178767840332,0.09112985645376141,0.07451523155957482,0.3034190076342667,-0.3292228905257426,-0.018225342074485756
Iranian Plateau,0.10876995241469405,0.22335397424515396,-0.27085564257861844,0.2817968949641167,-0.24871262365558772,-0.17043977855988426,0.32348983740253506,-0.1252402807455386
Chogha Mish,-0.10715840017102204,0.12256994618333186,0.09036952556490835,0.12283126858800446,-0.08703489671153627,0.10723931849802985,0.10293176246095993,-0.011715952060934703
Aryan,0.007736290186800375,0.3125263051135742,-0.2571758207456083,-0.11114131107750595,0.13355045300158028,-0.22043701134004418,-0.13887089967374902,0.07317095933030139
Universal suffrage,-0.10156267739377497,-0.1608718164614454,0.06875237308737514,-0.15454173952797468,0.0038779903083520644,-0.15792086562534896,0.0040925388035270805,-0.10199103667194684
Submarine,-0.11216803975336083,-0.14052324639696342,0.13956099543950928,-0.0736931550389267,0.0010595371584280605,-0.11603898897931987,0.11028366622837565,-0.03228801647908047
Sasanian art,-0.09168229407064764,0.3448037835278171,0.2850303211431635,-0.09964822728518205,-0.21260787308758544,0.011606669573425855,-0.1380099950557457,-0.07716588719377412
Franklin D. Roosevelt,-0.06160097223730117,-0.17097111476536858,0.17173517114274384,-0.29308965699822315,0.07486682818668124,-0.22553961124602007,0.2256016520857585,0.06923822584382755
Sasanian Empire,-0.011131467656012013,0.42997526214250187,0.2719783613736086,-0.19581406094101625,-0.13413975989200286,-0.019396322647776642,-0.135121499582232,0.04200787359922683
Turkey,0.12044837958698322,0.03333279679432623,0.2635872606667965,-0.04653075974575787,-0.03346392875017616,-0.10825264945910046,-0.04498214638710367,-0.17222701171455748
Badab-e Surt,-0.10256234950868995,-0.10158016011156137,-0.0764572644809386,0.1331239877244446,-0.07821964736833716,0.016425915196501835,0.11547612850747191,-0.15530125263160796
FIVB World Rankings,-0.09958323834993635,-0.20291852291135737,0.05147801131175744,0.0012562737043528927,-0.05176082974248553,-0.08478497484326232,0.03412532137676001,-0.07363592301569231
Iranian peoples,0.192186225647743,0.4969169532523909,-0.24897827251859378,-0.0894555750393693,0.01571069626839626,-0.21463542675036465,-0.05546098003486881,0.09749819731347688
Mandane of Media,-0.18618765497759784,-0.007767352567800974,0.027757809952140597,-0.1332532180256108,-0.1960602432338183,0.41409673723536944,0.12292694971639315,0.3387972704930446
Economy of Iran,0.6106886337781142,-0.1277471861587245,0.22369311343209605,0.21322481619532907,-0.009858025297265375,-0.03866082722756755,-0.07431999103474374,0.10341878851520228
Lor Girl,0.07566006152595456,-0.03432893076746922,-0.20660640662811688,0.08038481217077054,0.09575095703919802,0.2533870845396591,-0.15787332847078578,-0.02544841865905599
Viguen,-0.012318361453012615,0.007365718988004523,-0.20691113968011407,-0.10850309837500215,-0.1246039395939395,0.06929242949665458,-0.08014919055975972,0.03332386237034731
Calligraphy,-0.16256218694025534,0.10651430917748463,0.06563913771535412,-0.1362009852497743,0.05940243837888828,-0.05633357284635243,-0.15375458165945644,-0.27656446749694313
List of countries by GDP (PPP),-0.0074505107002029065,-0.28253762810080246,0.17634766873202512,0.1256636022843794,0.06754706848947556,-0.028222268861677027,-0.09673897136167345,-0.11882225367784395
2009 Iranian presidential election protests,0.3107077411021698,-0.05217339380059262,-0.1580193268364998,-0.2688732835974404,0.19025525759376885,0.01020707096227821,0.17748407874935504,0.11508163241591383
Architecture,-0.13272863611231522,-0.010225379770904132,0.10872930770635816,-0.07462732019127678,-0.02254023901689616,0.011676999307816105,-0.17328238276252036,-0.2750713912293756
Science and technology in Iran,0.5647008546567049,-0.019584760872646677,0.0719024287481552,0.09608596210961516,0.047735710748193494,0.08014421580961575,-0.10372734031924646,0.014605328752418465
Nabonidus,-0.20169298782270642,0.10208495582172775,0.16590501085982448,-0.09833921306128729,-0.24617714805593124,0.31452118398971735,0.11699046231438504,0.30129736048554373
Christmas,-0.15111144903604423,-0.05042087329432226,-0.02855621840223983,-0.13906016554481013,-0.09191007327143454,0.04887306838642964,0.010868900794514849,0.12131114360958492
Sumerian language,-0.25596368200189723,0.2180151195062253,0.12143182114717377,0.29550901145628267,0.5372377606686953,0.036677348632359295,0.15239587143593616,0.07094218213770938
Avestan,-0.12175327511147989,0.22212716730780194,-0.212305447665925,-0.12159516224588168,0.10634501808667896,-0.17186236763640778,-0.19506542169276667,-0.060208867183361034
Kamancheh,-0.09719313924256184,-0.04279660972274458,-0.0505534535856396,0.04402186869833716,-0.11289944233547855,0.09428926823957054,0.0395089079341281,-0.20223860221678494
Tehran University of Medical Sciences,0.15322651325188655,-0.15847781656900506,0.037816402557242675,-0.06984358033431244,0.1010188604221489,0.205377746231296,-0.07382598101470905,-0.13377906182273439
Bear,-0.18139178877177514,-0.14163439943968303,-0.09567523789138825,0.1672761753975978,-0.06510252422901751,-0.2393304024056614,-0.1248717659743016,0.17433858749699419
Islamic Revolutionary Court,0.1005018358727762,-0.0679430616238477,-0.14033946724930868,-0.18930638736947294,0.11869224033927073,0.11888383089553349,0.11306765256646358,0.007798151034549629
Timeline of first orbital launches by country,-0.08679003785272825,-0.21804177430976776,0.04574505210252451,0.0028206323823010606,-0.0022457324619673336,-0.029125045941981016,0.053594322140546234,-0.0215988811421744
Royal Road,-0.09166422932454701,0.13779633528108748,0.0591810788881116,0.032468699526137304,-0.12418342265133603,0.21540092576776618,0.012545426171843718,0.0808590508319565
Zagros Mountains,-0.04456640974268162,0.08195264233023493,-0.21272641807135287,0.34791637516538404,-0.2665100824384889,-0.11885196963592827,0.39801319252556444,-0.1821797925745791
Mining in Iran,0.44731189480524647,-0.13727170722330906,0.15651040826255805,0.25505225337810994,-0.08515443795117761,-0.007142929364311062,-0.06569387368662379,0.16041655761214613
String theory,-0.1635340676456594,-0.0779312063188554,-0.056545745180455985,0.11329792789911207,0.01797178606692342,-0.006868649842794743,-0.03246510507477727,-0.15868126154444367
Elamite language,-0.24496394187356865,0.12598238792761218,0.06017047723786045,0.2432505784469291,0.5331384732940296,0.05185568221086279,0.16173227439561486,0.13015180754178993
Islamic Consultative Assembly,0.1275664335502523,-0.08450548599913608,-0.13725208882893844,-0.2593384245742793,0.12679126642629068,0.02443324139614669,0.0054101319959714575,-0.19582755743743643
Recession,0.022290816694011905,-0.22907547660256822,0.20914873647507992,0.15884302890489288,0.009669511832583565,-0.1283631726951268,-0.05168308270848069,0.01171018576218235
